origem,destino
FACOM32102,FACOM32201
FAMAT39214,FAMAT31022
FACOM32201,FACOM32302
FACOM32201,FACOM32305
FACOM32201,FACOM32401
FACOM32302,FACOM32402
FACOM32305,FACOM32403
FACOM32303,FACOM32404
FACOM32201,FACOM32404
FACOM32401,FACOM32304
FACOM32402,FACOM32304
FAMAT39214,FAMAT39505
FACOM32403,FACOM32502
FACOM32305,FACOM32503
FACOM32404,FACOM32504
FAMAT39505,FACOM32602
FACOM32302,FACOM32602
FACOM32401,FACOM32603
FACOM32305,FACOM32603
FACOM32502,FACOM32604
FACOM32402,FACOM32605
FACOM32504,FACOM32606
FACOM32602,FACOM32701
FACOM32603,FACOM32702
FAMAT31022,FACOM32705
FACOM32504,FACOM32804
