id_materia,id_turma,slots
FACIC39102,S,"SEG01, SEG02, SEG03, SEG04"
FACOM32102,SA,"TER01, TER02, QUI01, QUI02"
FACOM32102,SB,"TER01, TER02, QUI03, QUI04"
FACOM32102,EXA,"TER03, TER04, QUI03, QUI04"
FACOM32102,EXB,"TER03, TER04, QUI01, QUI02"
FACOM32105,S,"TER03, TER04, SEX01, SEX02"
FACOM32105,EX,"TER01, TER02, QUA03, QUA04"
FACOM32104,S,"QUA01, QUA02"
FACOM32101,S,"QUA03, QUA04"
FAGEN31102,S,"TER03, TER04, QUA01, QUA02"
FAGEN31102,EX,"TER01, TER02, QUA03, QUA04"
FACOM32201,S,"TER01, TER02, QUI03, QUI04"
FACOM32201,EX,"TER01, TER02, QUI03, QUI04"
FAMAT39214,S,"SEG01, SEG02, QUA03, QUA04, QUI01, QUI02"
FAGEN39531,S,"SEG03, SEG04, SEX01, SEX02"
FAGEN39531,EX,"SEX01, SEX02, SEX03, SEX04"
FACOM32303,S,"TER03, TER04, SEX01, SEX02"
FACOM32303,EX,"TER03, TER04, SEX01, SEX02"
FACOM32302,S,"TER01, TER02, QUI03, QUI04"
FACOM32302,EX,"TER01, TER02, QUI03, QUI04"
FAMAT31022,S,"SEG01, SEG02, SEG03"
FAGEN39050,S,"QUA03, QUA04, QUI01, QUI02"
FAGEN39050,EX,"QUA03, QUA04, QUI01, QUI02"
FACOM32305,S,"QUA01, QUA02, SEX03, SEX04"
FACOM32305,EX,"QUA01, QUA02, SEX03, SEX04"
FACOM32404,S,"TER03, TER04, SEX01, SEX02"
FACOM32404,EX,"TER03, TER04, SEX01, SEX02"
FACOM32402,S,"TER01, TER02, QUI03, QUI04"
FACOM32402,EX,"TER01, TER02, QUI03, QUI04"
FACOM32401,S,"SEG01, SEG02, QUA03, QUA04"
FACOM32401,EX,"SEG01, SEG02, QUA03, QUA04"
FAMAT32401,S,"SEG03, SEG04, QUI01, QUI02"
FACOM32403,S,"QUA01, QUA02, SEX03, SEX04"
FACOM32304,S,"SEG01, SEG02, QUA03, QUA04"
FACOM32502,S,"TER01, TER02, QUI03, QUI04"
FACOM32503,S,"SEG03, SEG04, QUI01, QUI02"
FACOM32504,S,"QUA01, QUA02, SEX03, SEX04"
FACOM32602,S,"SEG03, SEG04, QUI01, QUA02"
FACOM32603,S,"TER03, TER04, SEX01, SEX02"
FACOM32604,S,"QUA01, QUA02, QUI03, QUI04"
FACOM32605,S,"SEG01, SEG02, QUI03, QUI04"
FACOM32606,S,"TER01, TER02, SEX03, SEX04"
FACOM32704,S,"TER01, TER02, QUA03, QUA04"
FACOM32702,S,"TER03, TER04, QUA01, QUA02"
FACOM32705,S,"SEG01, SEG02, QUI03, QUI04"
FACOM32701,S,"SEG03, SEG04, QUI01, QUI02"
FACOM32804,S,"TER01, TER02, QUA03, QUA04"
FADIR39802,S,"SEX02, SEX03, SEX04"
FAGEN32802,S,"SEG01, SEG02, QUI03, QUI04"
GSI031,S,"SEX02, SEX03, SEX04"
GSI073,S,"TER03, TER04, QUA03, QUA04"
GSI078,S,"SEG01, SEG02, QUA03, QUA04"
